ticker,empresa
ITSA3,"ITAUSA S.A."
ITSA4,"ITAUSA S.A."
ITUB3,"ITAU UNIBANCO HOLDING S.A."
ITUB4,"ITAU UNIBANCO HOLDING S.A."
JALL3,"JALLES MACHADO S.A."
JFEN3,"JOAO FORTES ENGENHARIA S.A."
JHSF3,"JHSF PARTICIPACOES S.A."
JOPA3,"JOSAPAR-JOAQUIM OLIVEIRA S.A. - PARTICIP"
JSLG3,"JSL S.A."
KEPL3,"KEPLER WEBER S.A."
KLBN11,"KLABIN S.A."
KLBN3,"KLABIN S.A."
KLBN4,"KLABIN S.A."
LAND3,"TERRA SANTA PROPRIEDADES AGRICOLAS S.A."
LAVV3,"LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A."
LEVE3,"MAHLE-METAL LEVE S.A."
LIGT3,"LIGHT S.A."
LJQQ3,"LOJAS QUERO-QUERO S/A"
LOGG3,"LOG COMMERCIAL PROPERTIES"
LOGN3,"LOG-IN LOGISTICA INTERMODAL S.A."
LPSB3,"LPS BRASIL - CONSULTORIA DE IMOVEIS S.A."
LREN3,"LOJAS RENNER S.A."
LUPA3,"LUPATECH S.A."
LUXM4,"TREVISA INVESTIMENTOS S.A."
LWSA3,"LWSA S.A."
MATD3,"HOSPITAL MATER DEI S/A"
MBRF3,"MBRF3"
MDIA3,"M.DIAS BRANCO S.A. IND COM DE ALIMENTOS"
MDNE3,"MOURA DUBEUX ENGENHARIA S/A"
MEAL3,"INTERNATIONAL MEAL COMPANY ALIMENTACAO S.A."
MELK3,"MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A."
MGEL4,"MANGELS INDUSTRIAL S.A."
MGLU3,"MAGAZINE LUIZA S.A."
MILS3,"MILLS LOCAÇÃO. SERVIÇOS E LOGÍSTICA S.A"
MLAS3,"GRUPO MULTI S.A."
MNDL3,"MUNDIAL S.A. - PRODUTOS DE CONSUMO"
MNPR3,"MINUPAR PARTICIPACOES S.A."
MOTV3,"MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A."
MOVI3,"MOVIDA PARTICIPACOES SA"
MRVE3,"MRV ENGENHARIA E PARTICIPACOES S.A."
MSPA3,"CIA MELHORAMENTOS DE SAO PAULO"
MTRE3,"MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A."
MTSA4,"METISA METALURGICA TIMBOENSE S.A."
MULT3,"MULTIPLAN - EMPREEND IMOBILIARIOS S.A."
MWET3,"WETZEL S.A."
MWET4,"WETZEL S.A."
MYPK3,"IOCHPE MAXION S.A."
NATU3,"NATURA COSMETICOS S.A."
NEXP3,"NEXPE PARTICIPAÇÕES S.A"
NGRD3,"NEOGRID PARTICIPACOES S.A."
NORD3,"NORDON INDUSTRIAS METALURGICAS S.A."
NUTR3,"NUTRIPLANT INDUSTRIA E COMERCIO S.A."
OBTC3,"ORANJEBTC S.A. - EDUCAÇÃO E INVESTIMENTO"
OFSA3,"OUROFINO S.A."
OIBR3,"OI S.A."
OIBR4,"OI S.A."
ONCO11,"ONCOCLINICAS DO BRASIL SERVICOS MEDICOS  S.A."
ONCO3,"ONCOCLINICAS DO BRASIL SERVICOS MEDICOS  S.A."
OPCT3,"OCEANPACT SERVICOS MARITIMOS S.A."
ORVR3,"ORIZON VALORIZACAO DE RESIDUOS S.A."
OSXB3,"OSX BRASIL S.A."
PASS3,"COMPASS GAS E ENERGIA S.A."
PATI3,"PANATLANTICA S.A."
PCAR3,"CIA BRASILEIRA DE DISTRIBUICAO"
PDGR3,"PDG REALTY S.A. EMPREEND E PARTICIPACOES"
PDTC3,"PADTEC HOLDING S.A."
PEAB3,"CIA PARTICIPACOES ALIANCA DA BAHIA"
PEAB4,"CIA PARTICIPACOES ALIANCA DA BAHIA"
PETR3,"PETROLEO BRASILEIRO S.A. PETROBRAS"
PETR4,"PETROLEO BRASILEIRO S.A. PETROBRAS"
PFRM3,"PROFARMA DISTRIB PROD FARMACEUTICOS S.A."
PGMN3,"EMPREENDIMENTOS PAGUE MENOS S.A."
PINE3,"BCO PINE S.A."
PINE4,"BCO PINE S.A."
PLAS3,"PLASCAR PARTICIPACOES INDUSTRIAIS S.A."
PLPL3,"PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A."
PMAM3,"PARANAPANEMA S.A."
PNVL3,"DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS"
POMO3,"MARCOPOLO S.A."
POMO4,"MARCOPOLO S.A."
POSI3,"POSITIVO TECNOLOGIA S.A."
PRIO3,"PRIO S.A."
PRNR3,"PRINER SERVIÇOS INDUSTRIAIS S.A."
PSSA3,"PORTO SEGURO S.A."
PTBL3,"PBG S/A"
QUAL3,"QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A."
RADL3,"RAIA DROGASIL S.A."
RAIL3,"RUMO S.A."
RAIZ4,"RAIZEN S.A."
RANI3,"IRANI PAPEL E EMBALAGEM S.A."
RAPT3,"RANDONCORP S.A."
RAPT4,"RANDONCORP S.A."
RCSL3,"RECRUSUL S.A."
RCSL4,"RECRUSUL S.A."
RDOR3,"REDE DOR SÃO LUIZ S.A."
RECV3,"PETRORECÔNCAVO S.A."
REDE3,"REDE ENERGIA PARTICIPAÇÕES S.A."
RENT3,"LOCALIZA RENT A CAR S.A."
RENT4,"LOCALIZA RENT A CAR S.A."
RIAA3,"RIAA3"
RNEW3,"RENOVA ENERGIA S.A."
RNEW4,"RENOVA ENERGIA S.A."
ROMI3,"ROMI S.A."
RPAD3,"ALFA HOLDINGS S.A."
RPAD5,"ALFA HOLDINGS S.A."
RPAD6,"ALFA HOLDINGS S.A."
RPMG3,"REFINARIA DE PETROLEOS MANGUINHOS S.A."
RSUL4,"METALURGICA RIOSULENSE S.A."
RVEE3,"REVEE S.A."
SANB11,"BCO SANTANDER (BRASIL) S.A."
SANB3,"BCO SANTANDER (BRASIL) S.A."
SANB4,"BCO SANTANDER (BRASIL) S.A."
SAPR11,"CIA SANEAMENTO DO PARANA - SANEPAR"
SAPR3,"CIA SANEAMENTO DO PARANA - SANEPAR"
SAPR4,"CIA SANEAMENTO DO PARANA - SANEPAR"
SAUD3,"SAUD3"
SBFG3,"GRUPO SBF SA"
SBSP3,"CIA SANEAMENTO BASICO EST SAO PAULO"
SCAR3,"SAO CARLOS EMPREEND E PARTICIPACOES S.A."
SEER3,"SER EDUCACIONAL S.A."
SEQL3,"SEQUOIA LOGISTICA E TRANSPORTES S.A"
SHOW3,"T4F ENTRETENIMENTO S.A."
SHUL4,"SCHULZ S.A."
SIMH3,"SIMPAR S.A."
SLCE3,"SLC AGRICOLA S.A."
SMFT3,"SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A."
SMTO3,"SAO MARTINHO S.A."
SNSY3,"SANSUY S.A. INDUSTRIA DE PLASTICOS"
SNSY5,"SANSUY S.A. INDUSTRIA DE PLASTICOS"
SOJA3,"BOA SAFRA SEMENTES S.A."
SOND5,"SONDOTECNICA ENGENHARIA SOLOS S.A."
SUZB3,"SUZANO S.A."
SYNE3,"SYN PROP E TECH S.A."
TAEE11,"TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A."
TAEE3,"TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A."
TAEE4,"TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A."
TASA3,"TAURUS ARMAS S.A."
TASA4,"TAURUS ARMAS S.A."
TCSA3,"TECNISA S.A."
TECN3,"TECHNOS S.A."
TELB3,"TELEC BRASILEIRAS S.A. TELEBRAS"
TELB4,"TELEC BRASILEIRAS S.A. TELEBRAS"
TEND3,"CONSTRUTORA TENDA S.A."
TFCO4,"TRACK & FIELD CO S.A."
TGMA3,"TEGMA GESTAO LOGISTICA S.A."
TIMS3,"TIM S.A."
TOKY3,"TOKY3"
TOTS3,"TOTVS S.A."
TPIS3,"TPI - TRIUNFO PARTICIP. E INVEST. S.A."
TRAD3,"TC S.A."
TRIS3,"TRISUL S.A."
TTEN3,"TRÊS TENTOS AGROINDUSTRIAL S/A"
TUPY3,"TUPY S.A."
TXRX3,"TEXTIL RENAUXVIEW S.A."
UCAS3,"UNICASA INDÚSTRIA DE MÓVEIS S.A."
UGPA3,"ULTRAPAR PARTICIPACOES S.A."
UNIP3,"UNIPAR CARBOCLORO S.A."
UNIP5,"UNIPAR CARBOCLORO S.A."
UNIP6,"UNIPAR CARBOCLORO S.A."
USIM3,"USINAS SID DE MINAS GERAIS S.A.-USIMINAS"
USIM5,"USINAS SID DE MINAS GERAIS S.A.-USIMINAS"
USIM6,"USINAS SID DE MINAS GERAIS S.A.-USIMINAS"
VALE3,"VALE S.A."
VAMO3,"VAMOS LOCAÇÃO DE CAMINHÕES. MÁQUINAS E EQUIP. S.A."
VBBR3,"VIBRA ENERGIA S.A."
VITT3,"VITTIA S.A."
VIVA3,"VIVARA PARTICIPAÇOES S.A"
VIVR3,"VIVER INCORPORADORA E CONSTRUTORA S.A."
VIVT3,"TELEFÔNICA BRASIL S.A"
VLID3,"VALID SOLUÇÕES S.A."
VSTE3,"VESTE S.A. ESTILO"
VTRU3,"VITRU EDUCAÇÃO S.A"
VULC3,"VULCABRAS S.A."
VVEO3,"CM HOSPITALAR S.A."
WDCN3,"WDCN3"
WEGE3,"WEG S.A."
WEST3,"WESTWING COMERCIO VAREJISTA S.A."
WHRL3,"WHIRLPOOL S.A."
WHRL4,"WHIRLPOOL S.A."
WIZC3,"WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A."
WLMM4,"WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A."
YDUQ3,"YDUQS PARTICIPACOES S.A."
